ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2020-09-22,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.1602,0.27306,full_february,DAY_OF_WEEK
2020-09-23,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.17014,0.26482,full_february,DAY_OF_WEEK
2020-09-24,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.19662,0.28844,full_february,DAY_OF_WEEK
2020-09-25,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.1694,0.26747,full_february,DAY_OF_WEEK
2020-09-26,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.13736,0.27663,full_february,DAY_OF_WEEK
2020-09-27,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.17551,0.27748,full_february,DAY_OF_WEEK
2020-09-28,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.12081,0.25486,full_february,DAY_OF_WEEK
2020-09-29,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.13021,0.26358,full_february,DAY_OF_WEEK
2020-09-30,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.13903,0.27292,full_february,DAY_OF_WEEK
2020-10-01,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.1248,0.25641,full_february,DAY_OF_WEEK
2020-10-02,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.11332,0.24954,full_february,DAY_OF_WEEK
2020-10-03,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.13796,0.24907,full_february,DAY_OF_WEEK
2020-10-04,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.19756,0.28547,full_february,DAY_OF_WEEK
2020-10-05,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.14978,0.24496,full_february,DAY_OF_WEEK
2020-10-06,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.15394,0.26186,full_february,DAY_OF_WEEK
2020-10-07,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.13538,0.24345,full_february,DAY_OF_WEEK
2020-10-08,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.17789,0.26072,full_february,DAY_OF_WEEK
2020-10-09,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.17461,0.27478,full_february,DAY_OF_WEEK
2020-10-10,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.17344,0.25874,full_february,DAY_OF_WEEK
