GID_0,GID_1,GID_2,rwi_weight,pop2020,download_kbps_fixed,upload_kbps_fixed,download_mbps_fixed,upload_mbps_fixed,latency_fixed,tests_unique_dev_fixed,tests_fixed,hdi,life_expectancy,literacy_rate,gdp_per_capita,life_expectancy_index,literacy_index,education_index,gdp_index,pop60plus,pop60plus_ratio
SLV,SLV.3_1,SLV.3.33_1,0.2808049253529596,7334.630606130627,-1,-1,-1,-1,-1,-1,-1,0.682,65.6,77.5,4860.4,0.676,0.775,0.721,0.648,825.0967940000002,0.1124932990231772
SLV,SLV.3_1,SLV.3.34_1,0.1912644978985035,11714.834749674015,-1,-1,-1,-1,-1,-1,-1,0.68,65.1,78.8,5133.4,0.668,0.788,0.713,0.657,1189.7377740000002,0.1015582207878012
SLV,SLV.4_1,SLV.4.1_1,0.5098481216014377,8930.156006683661,-1,-1,-1,-1,-1,-1,-1,0.699,68.7,83.7,3963.3,0.728,0.837,0.755,0.614,877.680132,0.0982827322773657
SLV,SLV.4_1,SLV.4.2_1,1.0098919582517625,40804.3362190293,-1,-1,-1,-1,-1,-1,-1,0.774,72.6,88.7,7418.4,0.794,0.887,0.809,0.719,4042.520467999999,0.0990708547812315
SLV,SLV.4_1,SLV.4.3_1,0.5900573610253168,12097.112382420615,-1,-1,-1,-1,-1,-1,-1,0.6835,68.2,74.05000000000001,4828.45,0.7195,0.7404999999999999,0.685,0.646,941.2023989999998,0.0778038898247935
SLV,SLV.4_1,SLV.4.4_1,0.3235868830687176,4233.801637716514,-1,-1,-1,-1,-1,-1,-1,0.6930000000000001,68.7,79.46666666666667,4169.533333333334,0.7280000000000001,0.7946666666666666,0.7346666666666667,0.616,381.653926,0.090144498646338
SLV,SLV.4_1,SLV.4.5_1,0.1598226681330192,21382.275792922686,-1,-1,-1,-1,-1,-1,-1,0.671,68.2,76.9,3209.7,0.719,0.769,0.716,0.579,1911.082418,0.0893769417487613
SLV,SLV.4_1,SLV.4.6_1,0.1855608420433322,7568.811650841288,-1,-1,-1,-1,-1,-1,-1,0.724,70.2,84.3,4763.5,0.753,0.843,0.776,0.645,629.618976,0.0831859748987169
SLV,SLV.4_1,SLV.4.7_1,1.266,13487.866422176809,-1,-1,-1,-1,-1,-1,-1,0.76,70.8,88.6,6899.8,0.764,0.886,0.811,0.707,1032.563029,0.0765549566314102
SLV,SLV.4_1,SLV.4.8_1,0.0475982415020734,7675.214265948358,-1,-1,-1,-1,-1,-1,-1,0.671,68.4,79.5,3052.3,0.723,0.795,0.719,0.571,625.7603650000001,0.0815300190088804
SLV,SLV.4_1,SLV.4.9_1,0.0255908597181545,7508.797347209772,-1,-1,-1,-1,-1,-1,-1,0.71,70.3,82.6,4083.2,0.754,0.826,0.756,0.619,739.5627529999999,0.0984928369753935
SLV,SLV.4_1,SLV.4.10_1,0.302803127768071,59850.94314458942,-1,-1,-1,-1,-1,-1,-1,0.702,67.7,80.5,5130.4,0.712,0.805,0.735,0.657,4314.389352,0.0720855700064272
SLV,SLV.4_1,SLV.4.11_1,0.5378236482449068,19288.81535255825,-1,-1,-1,-1,-1,-1,-1,0.751,70.0,83.1,8175.7,0.751,0.831,0.767,0.735,1511.9552259999996,0.0783850743741746
SLV,SLV.4_1,SLV.4.12_1,0.2131073015682663,7763.29300459596,-1,-1,-1,-1,-1,-1,-1,0.714,69.2,88.5,3658.9,0.737,0.885,0.804,0.601,713.8176210000001,0.0919477882101592
SLV,SLV.4_1,SLV.4.13_1,0.3099103202227422,3179.9973396188893,-1,-1,-1,-1,-1,-1,-1,0.71,71.6,81.2,4307.1,0.776,0.812,0.727,0.628,344.434131,0.1083127104254996
SLV,SLV.4_1,SLV.4.14_1,0.7345022682035932,14955.656520369575,-1,-1,-1,-1,-1,-1,-1,0.721,69.1,80.5,5970.4,0.735,0.805,0.746,0.683,1256.5959819999998,0.0840214523707814
SLV,SLV.4_1,SLV.4.15_1,0.1663218587379928,35767.696280605625,-1,-1,-1,-1,-1,-1,-1,0.686,68.5,76.9,4027.3,0.725,0.769,0.716,0.617,2908.365425,0.0813126291999132
SLV,SLV.4_1,SLV.4.16_1,-0.199408663247687,8783.89949870321,-1,-1,-1,-1,-1,-1,-1,0.685,68.1,76.3,4213.3,0.719,0.763,0.711,0.624,805.3269160000002,0.0916821641821941
SLV,SLV.5_1,SLV.5.1_1,1.3166256892108352,40891.58824977564,-1,-1,-1,-1,-1,-1,-1,0.878,74.3,95.7,20131.1,0.821,0.957,0.927,0.885,4949.055291999999,0.1210286883886725
SLV,SLV.5_1,SLV.5.2_1,0.1510920726877241,8932.832661271244,-1,-1,-1,-1,-1,-1,-1,0.656,68.7,74.0,2712.8,0.729,0.74,0.688,0.551,734.6092480000002,0.0822369875106847
SLV,SLV.5_1,SLV.5.3_1,0.7977932674964917,80352.42924432267,-1,-1,-1,-1,-1,-1,-1,0.711,68.8,82.6,5153.9,0.73,0.826,0.744,0.658,6066.982810000001,0.0755046594988746
SLV,SLV.5_1,SLV.5.4_1,0.9415228942115924,149934.15850274818,-1,-1,-1,-1,-1,-1,-1,0.757,71.6,88.7,6110.1,0.777,0.887,0.807,0.686,8786.851673000003,0.0586047353101257
SLV,SLV.5_1,SLV.5.5_1,-0.1555834357101993,10402.528728353089,-1,-1,-1,-1,-1,-1,-1,0.648,69.0,73.7,2514.3,0.733,0.737,0.672,0.538,875.5731609999999,0.084169261519417
SLV,SLV.5_1,SLV.5.6_1,0.2729670189120899,15677.67107326099,-1,-1,-1,-1,-1,-1,-1,0.669,68.1,79.5,2847.4,0.719,0.795,0.728,0.559,1115.3858369999998,0.0711448678689491
SLV,SLV.5_1,SLV.5.7_1,0.5176424993365754,11704.525692364808,-1,-1,-1,-1,-1,-1,-1,0.685,69.3,79.7,4157.6,0.739,0.797,0.695,0.622,984.8787309999998,0.084145121031471
SLV,SLV.5_1,SLV.5.8_1,0.1097313998387018,4721.805246549808,-1,-1,-1,-1,-1,-1,-1,0.641,69.1,69.9,2381.7,0.735,0.699,0.658,0.529,378.39399900000006,0.080137570111874
SLV,SLV.5_1,SLV.5.9_1,0.5546815296043808,33539.31957631524,-1,-1,-1,-1,-1,-1,-1,0.698,70.4,78.6,4366.3,0.756,0.786,0.708,0.63,2646.6419750000005,0.0789116180183036
SLV,SLV.5_1,SLV.5.10_1,1.029987359279414,126071.13438981464,-1,-1,-1,-1,-1,-1,-1,0.835,74.0,92.9,12455.7,0.817,0.929,0.885,0.805,13036.752281,0.1034079081155094
SLV,SLV.5_1,SLV.5.11_1,0.725,4727.736608828522,-1,-1,-1,-1,-1,-1,-1,0.785,74.8,87.3,7424.6,0.83,0.873,0.808,0.719,358.927605,0.075919543472397
SLV,SLV.5_1,SLV.5.12_1,0.6693776064235674,94900.57405252288,-1,-1,-1,-1,-1,-1,-1,0.703,68.5,82.2,4588.2,0.726,0.822,0.746,0.639,6944.545033,0.0731770603321801
SLV,SLV.5_1,SLV.5.13_1,0.8306067953923238,57309.13120446457,-1,-1,-1,-1,-1,-1,-1,0.734,70.6,84.8,5469.5,0.761,0.848,0.774,0.668,5276.351954,0.0920682593350665
SLV,SLV.5_1,SLV.5.14_1,0.811234792295918,16498.017354208016,-1,-1,-1,-1,-1,-1,-1,0.706,69.3,79.8,5187.5,0.738,0.798,0.72,0.659,1262.5753539999996,0.0765289141654324
SLV,SLV.5_1,SLV.5.15_1,0.308718695833385,24336.502852960337,-1,-1,-1,-1,-1,-1,-1,0.712,70.6,82.7,4324.5,0.76,0.827,0.748,0.629,1592.3106599999996,0.0654289019922313
SLV,SLV.5_1,SLV.5.16_1,0.0751487158985551,7885.208903950012,-1,-1,-1,-1,-1,-1,-1,0.671,69.2,73.2,3825.5,0.737,0.732,0.669,0.608,786.981669,0.0998047963708063
SLV,SLV.5_1,SLV.5.17_1,0.3407211161658339,20007.42099636801,-1,-1,-1,-1,-1,-1,-1,0.668,68.8,73.1,3719.4,0.73,0.731,0.67,0.604,1736.28588,0.086782093519959
SLV,SLV.5_1,SLV.5.18_1,-0.0639971761821959,5595.503577131335,-1,-1,-1,-1,-1,-1,-1,0.678,68.6,79.1,3589.0,0.727,0.791,0.709,0.598,426.50316,0.0762224800897467
SLV,SLV.5_1,SLV.5.19_1,0.2794179635098724,16268.340077627654,-1,-1,-1,-1,-1,-1,-1,0.655,68.7,73.0,2975.7,0.728,0.73,0.671,0.566,1236.988845,0.0760365740510377
SLV,SLV.5_1,SLV.5.20_1,-0.0038868786397439,11003.549073897118,-1,-1,-1,-1,-1,-1,-1,0.631,68.5,66.8,2720.9,0.725,0.668,0.616,0.551,949.668655,0.0863056681641768
SLV,SLV.5_1,SLV.5.21_1,0.1449964292572168,15833.849193918431,-1,-1,-1,-1,-1,-1,-1,0.69,70.8,77.3,3588.1,0.764,0.773,0.71,0.598,1178.7071050000004,0.0744422338854108
SLV,SLV.5_1,SLV.5.22_1,0.8461090910086178,29266.945321763225,-1,-1,-1,-1,-1,-1,-1,0.727,70.5,87.2,4412.7,0.758,0.872,0.79,0.632,2037.532317,0.0696188923920552
SLV,SLV.6_1,SLV.6.1_1,0.55,8575.379392673894,-1,-1,-1,-1,-1,-1,-1,0.742,69.0,87.4,6365.5,0.733,0.874,0.801,0.693,781.2794980000002,0.0911072807656139
SLV,SLV.6_1,SLV.6.2_1,0.6016186107269207,24757.598336057945,-1,-1,-1,-1,-1,-1,-1,0.6930000000000001,68.7,79.46666666666667,4169.533333333334,0.7280000000000001,0.7946666666666666,0.7346666666666667,0.616,1628.9135789999998,0.0657944909231193
SLV,SLV.6_1,SLV.6.3_1,-0.001,2992.888498092554,-1,-1,-1,-1,-1,-1,-1,0.698,68.9,82.3,3815.7,0.732,0.823,0.755,0.608,291.0436370000001,0.0972450651554475
SLV,SLV.6_1,SLV.6.4_1,0.086,1374.8607664809842,-1,-1,-1,-1,-1,-1,-1,0.72,72.2,81.8,4545.2,0.787,0.818,0.735,0.637,156.853348,0.1140867146870973
